metric, value, unit
operation, read, 
ranks, 512, 
collective data, NO, 
collective meta, NO, 
subfiling, NO, 
total compute time, 0.000, seconds
total size, 1.250, TB
raw time, 25.189, seconds
raw rate, 50.814, GB/s
metadata time, 0.133, seconds
observed rate, 21.358, GB/s
observed time, 59.928, seconds
