metric, value, unit
operation, write, 
ranks, 2048, 
collective data, NO, 
collective meta, NO, 
subfiling, NO, 
total compute time, 0.000, seconds
total size, 5.000, TB
raw time, 3.428, seconds
raw rate, 1.458, TB/s
metadata time, 0.004, seconds
observed rate, 1.051, TB/s
observed time, 4.758, seconds
