metric, value, unit
operation, read, 
ranks, 128, 
collective data, NO, 
collective meta, NO, 
subfiling, NO, 
total compute time, 0.000, seconds
total size, 320.000, GB
raw time, 4.180, seconds
raw rate, 76.555, GB/s
metadata time, 0.011, seconds
observed rate, 75.076, GB/s
observed time, 4.262, seconds
