metric, value, unit
operation, read, 
ranks, 128, 
collective data, NO, 
collective meta, NO, 
subfiling, NO, 
total compute time, 0.000, seconds
total size, 320.000, GB
raw time, 1.310, seconds
raw rate, 244.295, GB/s
metadata time, 0.008, seconds
observed rate, 220.579, GB/s
observed time, 1.451, seconds
